"","Sturgeon_ID","Sturgeon_Name","Fork_Length","Fork_Length_2","Sex","Date_Tagged"
"1","9001-16704","16704-2016",2.1,2.4,"Unknown","2016-10-15 16:00:00"
"2","9001-16713","16713-F-2017",2.1,NA,"Female","2017-11-01 16:15:00"
"3","9001-26746","26746-M-2013",1.4,1.7,"Male","2013-09-13 15:30:00"
"4","9001-26747","26747-M-2013 (Frederickson)",1.4,1.7,"Male","2013-09-13 21:00:00"
"5","9001-26756","26756-M-2013",1.6,1.9,"Male","2013-10-11 14:00:00"
"6","9001-28297","28297-M-2012",1.6,1.9,"Male","2012-09-20 10:15:25"
"7","9001-43148","43148-M-NPS-2025",162,184,"Male","2025-09-01 04:00:00"
"8","9001-43149","43149-M-2025-NPS",165,187,"Male","2025-09-01 04:00:00"
"9","9001-43282","43282-M-2025",162,187,"Male","2025-09-06 12:15:26"
"10","9001-43283","43283-M-2025",168,194,"Male","2025-09-06 12:30:17"
"11","9001-43284","43284-M-2025",166,186,"Male","2025-09-06 14:00:58"
"12","9001-43287","43287-F-2025 (Zulian)",201,224,"Female","2025-09-10 18:15:28"
"13","9001-43288","43288-M-2025 (VDOT)",167,190,"Male","2025-09-13 12:15:54"
"14","9001-43289","43289-M-2025 (VDOT)",171,193,"Male","2025-09-13 12:45:57"
"15","9001-47192","47192-M-2024",163,181,"Male","2024-09-22 12:00:06"
"16","9001-47193","47193-M-2024",159,179,"Male","2024-09-24 18:30:20"
"17","9001-52017","52017-M-2023 (Crabby Mike)",1.6,1.8,"Male","2023-09-12 17:15:16"
"18","9001-52022","52022-M-2023",1.6,1.8,"Male","2023-09-25 16:00:14"
"19","9001-52029","52029-M-2023 (Columbo)",1.5,1.8,"Male","2023-09-25 16:00:38"
"20","9001-52030","52030-M-2023 (Ash)",1.5,1.7,"Male","2023-09-26 18:30:11"
"21","9001-52031","52031-M-2023 (ZSL)",1.6,1.8,"Male","2023-09-26 20:30:09"
"22","9001-52032","52032-F-2023 (Dottie)",1.8,2,"Female","2023-09-28 20:00:02"
"23","9001-52036","52036-M-2024 (JPW)",161,182,"Male","2024-09-04 19:00:49"
"24","9001-52038","52038-M-2024 (Taylor IV)",153,178,"Male","2024-09-06 19:00:00"
"25","9001-52039","52039-M-2024 (Taylor Sr)",170,193,"Male","2024-09-06 19:30:00"
"26","9001-52040","52040-M-2024 (Taylor Jr)",164,183,"Male","2024-09-09 13:00:25"
"27","9001-52041","52041-M-2024 (Taylor III)",158,182,"Male","2024-09-09 12:30:00"
"28","9001-52042","52042-M-2024 (Taylor V)",150,171,"Male","2024-09-11 12:30:27"
"29","9001-52043","52043-M-2024",1.5,1.7,"Male","2024-09-15 14:30:30"
"30","9001-64489","64489-F-2022 (JoAnn L-G)",2.1,2.3,"Female","2022-09-14 18:00:00"
"31","9001-64500","64500-M-2023 (Reine)",1.6,1.7,"Male","2023-09-03 12:45:00"
"32","9006-6277","6277-M-2025",154,180,"Male","2025-09-01 15:30:09"
"33","9006-6288","6288-F-2025 (Mama Fox)",2,2.3,"Female","2025-09-19 16:00:37"
