"","Hub","ID","Animal.Sex","Animal.Length..m.","Date","Date.Time"
"1","aquaHub-660298","9001-52031","Male",1.6,2025-09-14,"2025-09-14 04:00:00"
"2","aquaHub-661034","9001-43287","Female",201,2025-09-14,"2025-09-14 04:52:00"
"3","aquaHub-660273","9001-16713","Female",2.1,2025-09-14,"2025-09-14 05:12:00"
"4","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 05:12:00"
"5","aquaHub-660273","9001-16713","Female",2.1,2025-09-14,"2025-09-14 05:13:00"
"6","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 05:14:00"
"7","aquaHub-660273","9001-16713","Female",2.1,2025-09-14,"2025-09-14 05:15:00"
"8","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 05:16:00"
"9","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 05:19:00"
"10","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:24:00"
"11","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 05:25:00"
"12","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:26:00"
"13","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 05:26:00"
"14","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 05:26:00"
"15","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 05:29:00"
"16","aquaHub-660273","9001-16713","Female",2.1,2025-09-14,"2025-09-14 05:30:00"
"17","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 05:32:00"
"18","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 05:34:00"
"19","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 05:36:00"
"20","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 05:39:00"
"21","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:39:00"
"22","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:41:00"
"23","aquaHub-660110","9001-47193","Male",159,2025-09-14,"2025-09-14 05:45:00"
"24","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:45:00"
"25","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:47:00"
"26","aquaHub-660110","9001-47193","Male",159,2025-09-14,"2025-09-14 05:47:00"
"27","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:49:00"
"28","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:51:00"
"29","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:52:00"
"30","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:54:00"
"31","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:56:00"
"32","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 05:58:00"
"33","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 06:00:00"
"34","aquaHub-660141","9001-16704","Unknown",2.1,2025-09-14,"2025-09-14 06:02:00"
"35","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 06:11:00"
"36","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 06:15:00"
"37","aquaHub-660110","9001-26747","Male",1.4,2025-09-14,"2025-09-14 06:22:00"
"38","aquaHub-660273","9001-52042","Male",150,2025-09-14,"2025-09-14 06:22:00"
"39","aquaHub-660273","9001-52038","Male",153,2025-09-14,"2025-09-14 06:24:00"
"40","aquaHub-660273","9001-52042","Male",150,2025-09-14,"2025-09-14 06:29:00"
"41","aquaHub-660110","9001-26747","Male",1.4,2025-09-14,"2025-09-14 06:29:00"
"42","aquaHub-660273","9001-52042","Male",150,2025-09-14,"2025-09-14 06:31:00"
"43","aquaHub-660273","9001-52038","Male",153,2025-09-14,"2025-09-14 06:33:00"
"44","aquaHub-660110","9001-16713","Female",2.1,2025-09-14,"2025-09-14 06:35:00"
"45","aquaHub-660273","9001-52038","Male",153,2025-09-14,"2025-09-14 06:35:00"
"46","aquaHub-660141","9001-16704","Unknown",2.1,2025-09-14,"2025-09-14 06:36:00"
"47","aquaHub-660273","9001-52038","Male",153,2025-09-14,"2025-09-14 06:36:00"
"48","aquaHub-660273","9001-52042","Male",150,2025-09-14,"2025-09-14 06:39:00"
"49","aquaHub-660143","9001-52036","Male",161,2025-09-14,"2025-09-14 06:39:00"
"50","aquaHub-660273","9001-43148","Male",162,2025-09-14,"2025-09-14 06:39:00"
"51","aquaHub-660273","9001-52038","Male",153,2025-09-14,"2025-09-14 06:42:00"
"52","aquaHub-660273","9001-43148","Male",162,2025-09-14,"2025-09-14 06:42:00"
