Date and Time (UTC),Channel,Site,Hub,Receiver,Hub Latitude,Hub Longitude,ID,ID Type,Noise,Signal,Reference Tag,Animal Common Name,Animal Scientific Name,Animal Friendly Name,Animal Weight (kg),Animal Length (m),Length Type,Animal Length2 (m),Length2 Type,Animal Sex,Study Name,Tagger,Release Location,Release Latitude (deg),Release Longitude (deg),Release Date and Time (UTC),Comment,Sensor,Sensor Value (ADC),Sensor Battery (V),Sensor Tx Level,Sensor Temperature (°C),Sensor Tilt (°),Sensor Depth (m),Turbidity (NTU),Salinity (PSU),Dissolved Oxygen (%),DO Concentration (mg/l),CDOM (ppb),Chlorophyll (µg/L),Phycocyanin (ppb),Acceleration (m/s²)
2025-09-14 04:00:06,,vcu.edu,aquaHub-660141,VRXM-667148,,,9004-12275,UNKNOWN,29.0,70.6,,,,,,,,,,,,,,,,,,,152.0,,,,,,,,,,,,,
2025-09-14 04:00:12,,vcu.edu,aquaHub-660141,VRXM-667148,,,9001-64502,UNKNOWN,26.5,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14 04:00:24,,vcu.edu,aquaHub-660143,VRXM-667149,37.3086052,-77.1796177,9001-51872,UNKNOWN,29.0,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14 04:00:24,,vcu.edu,aquaHub-660298,VRXM-667251,,,1604-26110,UNKNOWN,39.5,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14 04:00:43,,vcu.edu,aquaHub-661034,VRXM-667697,37.2132970,-76.6604524,9001-50072,UNKNOWN,24.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14 04:00:52,,vcu.edu,aquaHub-660298,VRXM-667251,37.3472418,-77.2696319,9001-52031,CodedPinger,39.0,54.1,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,52031-M-2023 (ZSL),,1.6,Fork,1.8,Total,Male,,VCU ID 2170,James River,,,2023-09-26 20:30:09,Fall Adult,,,,,,,,,,,,,,,
2025-09-14 04:01:37,,vcu.edu,aquaHub-660141,VRXM-667148,37.3076018,-77.0091570,9004-12276,UNKNOWN,28.5,73.6,,,,,,,,,,,,,,,,,,,217.0,,,,,,,,,,,,,
2025-09-14 04:01:43,,vcu.edu,aquaHub-660298,VRXM-667251,37.3472418,-77.2696319,9001-43286,UNKNOWN,42.5,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14 04:02:02,,vcu.edu,aquaHub-661034,VRXM-667697,37.2132970,-76.6604524,9001-50072,UNKNOWN,24.5,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14 04:02:15,,vcu.edu,aquaHub-660298,VRXM-667251,37.3472418,-77.2696319,1604-26111,UNKNOWN,38.5,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
